date,symbol,px_open,px_1530,px_close,r_rod,r_last,signal,edge
2019-05-06,MNQ.v.0,7690.0,7807.25,7808.25,0.015099983620601387,0.0001280778715207542,1.0,0.0001280778715207542
2019-05-07,MNQ.v.0,7719.5,7604.5,7653.75,-0.014943669388588092,0.006455546479740794,-1.0,-0.006455546479740794
2019-05-08,MNQ.v.0,7629.5,7681.0,7627.25,0.006597234809927658,-0.007022386083977468,1.0,-0.007022386083977468
2019-05-09,MNQ.v.0,7550.5,7589.0,7592.75,0.004987212054367486,0.0004940142047214406,1.0,0.0004940142047214406
2019-05-10,MNQ.v.0,7563.5,7629.0,7601.25,0.008688266329536372,-0.0036440676559097913,1.0,-0.0036440676559097913
2019-05-13,MNQ.v.0,7405.0,7337.0,7333.25,-0.009225407987904853,-0.0005112387425812785,-1.0,0.0005112387425812785
2019-05-14,MNQ.v.0,7372.5,7440.25,7411.5,0.009214788508690288,-0.0038716024592211464,1.0,-0.0038716024592211464
2019-05-15,MNQ.v.0,7367.0,7532.0,7517.5,0.02218323425874447,-0.001926974914358909,1.0,-0.001926974914358909
2019-05-16,MNQ.v.0,7519.25,7600.75,7594.0,0.01074763565651219,-0.0008884648242347609,1.0,-0.0008884648242347609
2019-05-17,MNQ.v.0,7517.0,7533.25,7514.25,0.00215943340671218,-0.0025253377766990314,1.0,-0.0025253377766990314
2019-05-20,MNQ.v.0,7410.5,7389.25,7387.0,-0.0027025217448422437,-0.00030454276523339253,-1.0,0.00030454276523339253
2019-05-21,MNQ.v.0,7450.75,7467.75,7463.25,0.0022455726427193638,-0.0006027727729221703,1.0,-0.0006027727729221703
2019-05-22,MNQ.v.0,7421.0,7448.25,7430.5,0.003732414091055149,-0.002385954252953545,1.0,-0.002385954252953545
2019-05-23,MNQ.v.0,7345.5,7318.75,7316.25,-0.0036824918864801497,-0.0003416467405967888,-1.0,0.0003416467405967888
2019-05-24,MNQ.v.0,7356.75,7321.5,7308.25,-0.004700601338644115,-0.00181137799659874,-1.0,0.00181137799659874
2019-05-28,MNQ.v.0,7329.25,7298.75,7283.0,-0.004204343839077893,-0.002160235379832269,-1.0,0.002160235379832269
2019-05-29,MNQ.v.0,7239.75,7213.0,7223.5,-0.0036670628514806113,0.0014546464657634347,-1.0,-0.0014546464657634347
2019-05-30,MNQ.v.0,7241.25,7242.75,7252.0,0.0002071251043031212,0.0012763243596046834,1.0,0.0012763243596046834
2019-05-31,MNQ.v.0,7165.75,7144.5,7131.25,-0.002934910041433607,-0.0018562952986389788,-1.0,0.0018562952986389788
2019-06-03,MNQ.v.0,7115.25,6958.0,6979.5,-0.022384221739605272,0.0030852042409256026,-1.0,-0.0030852042409256026
2019-06-04,MNQ.v.0,7051.75,7153.5,7171.5,0.01439582786550612,0.002513090327878985,1.0,0.002513090327878985
2019-06-05,MNQ.v.0,7239.75,7211.75,7226.0,-0.00390970137326925,0.0019739924333454823,-1.0,-0.0019739924333454823
2019-06-06,MNQ.v.0,7236.5,7282.5,7282.25,0.006336545755930399,-3.432945982935461e-05,1.0,-3.432945982935461e-05
