Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
197,Exit long,2024-12-20 12:30,Exit Long,43570,17,365704,4620.26,1.26,5421.13,1.48,-69.87,-0.02,38277.05,19.14,9
197,Entry long,2024-12-20 10:15,Long,43024,17,365704,4620.26,1.26,5421.13,1.48,-69.87,-0.02,38277.05,19.14,9
198,Exit long,2024-12-20 12:30,Exit Long Add,43570,127,2765298,1242.06,0.04,7225.03,0.26,-2299.97,-0.08,39596.58,19.80,3
198,Entry long,2024-12-20 11:45,Long Add,43548,127,2765298,1242.06,0.04,7225.03,0.26,-2299.97,-0.08,39596.58,19.80,3
199,Exit long,2024-12-24 12:30,Exit Long,43559,17,370132.5,98.26,0.03,652.63,0.18,-528.87,-0.14,39694.84,19.85,4
199,Entry long,2024-12-24 11:30,Long,43545,17,370132.5,98.26,0.03,652.63,0.18,-528.87,-0.14,39694.84,19.85,4
200,Exit long,2025-01-17 12:00,Exit Long,43779,17,371968.5,132.26,0.04,618.63,0.17,-256.87,-0.07,39827.1,19.91,5
200,Entry long,2025-01-17 10:45,Long,43761,17,371968.5,132.26,0.04,618.63,0.17,-256.87,-0.07,39827.1,19.91,5
201,Exit long,2025-01-28 11:15,Exit Long,45080,17,383171.5,-12.24,0.00,678.13,0.18,-205.87,-0.05,39814.86,19.91,3
201,Entry long,2025-01-28 10:30,Long,45079,17,383171.5,-12.24,0.00,678.13,0.18,-205.87,-0.05,39814.86,19.91,3
202,Exit long,2025-02-07 10:00,Exit Long,44745,17,382151.5,-1839.74,-0.48,15.13,0.00,-2084.37,-0.55,37975.12,18.99,1
202,Entry long,2025-02-07 09:45,Long,44959,17,382151.5,-1839.74,-0.48,15.13,0.00,-2084.37,-0.55,37975.12,18.99,1
203,Exit long,2025-02-11 12:00,Exit Long,44584,17,378743,200.26,0.05,797.13,0.21,-27.37,-0.01,38175.38,19.09,6
203,Entry long,2025-02-11 10:30,Long,44558,17,378743,200.26,0.05,797.13,0.21,-27.37,-0.01,38175.38,19.09,6
204,Exit long,2025-03-14 12:00,Exit Long,41390,17,351619.5,174.76,0.05,984.13,0.28,-358.87,-0.10,38350.14,19.18,5
204,Entry long,2025-03-14 10:45,Long,41367,17,351619.5,174.76,0.05,984.13,0.28,-358.87,-0.10,38350.14,19.18,5
205,Exit long,2025-03-21 13:15,Exit Long,42206,17,358734,-3.74,0.00,729.13,0.20,-358.87,-0.10,38346.4,19.17,4
205,Entry long,2025-03-21 12:15,Long,42204,17,358734,-3.74,0.00,729.13,0.20,-358.87,-0.10,38346.4,19.17,4
206,Exit long,2025-04-01 12:15,Exit Long,42272,14,295512,374.92,0.13,1405.46,0.48,-197.54,-0.07,38721.32,19.36,6
206,Entry long,2025-04-01 10:45,Long,42216,14,295512,374.92,0.13,1405.46,0.48,-197.54,-0.07,38721.32,19.36,6
207,Exit long,2025-04-22 11:30,Exit Long,39110,17,332282,132.26,0.04,890.63,0.27,-392.87,-0.12,38853.58,19.43,4
207,Entry long,2025-04-22 10:30,Long,39092,17,332282,132.26,0.04,890.63,0.27,-392.87,-0.12,38853.58,19.43,4
208,Exit long,2025-04-22 12:30,Exit Long,39386,17,334764,-3.74,0.00,542.13,0.16,-350.37,-0.10,38849.84,19.42,2
208,Entry long,2025-04-22 12:00,Long,39384,17,334764,-3.74,0.00,542.13,0.16,-350.37,-0.10,38849.84,19.42,2
209,Exit long,2025-04-29 11:30,Exit Long,40522,16,325208,-1051.52,-0.32,86.24,0.03,-1041.76,-0.32,37798.32,18.90,3
209,Entry long,2025-04-29 10:45,Long,40651,16,325208,-1051.52,-0.32,86.24,0.03,-1041.76,-0.32,37798.32,18.90,3
210,Exit long,2025-05-02 13:15,Exit Long,41384,17,352784,-1040.74,-0.29,15.13,0.00,-1030.37,-0.29,36757.58,18.38,5
210,Entry long,2025-05-02 12:00,Long,41504,17,352784,-1040.74,-0.29,15.13,0.00,-1030.37,-0.29,36757.58,18.38,5
211,Exit long,2025-05-16 15:30,Exit Long,42698,17,361853.5,1058.76,0.29,1621.63,0.45,-214.37,-0.06,37738.87,18.87,12
211,Entry long,2025-05-16 12:30,Long,42571,17,361853.5,1058.76,0.29,1621.63,0.45,-214.37,-0.06,37738.87,18.87,12
212,Exit long,2025-05-16 15:30,Exit Long Add,42698,127,2708910,2258.06,0.08,6463.03,0.24,-204.47,-0.01,40074.4,20.04,6
212,Entry long,2025-05-16 14:00,Long Add,42660,127,2708910,2258.06,0.08,6463.03,0.24,-204.47,-0.01,40074.4,20.04,6
213,Exit long,2025-05-27 15:00,Exit Long,42363,17,359337.5,727.26,0.20,1230.63,0.34,-231.37,-0.06,40724.19,20.36,14
213,Entry long,2025-05-27 11:30,Long,42275,17,359337.5,727.26,0.20,1230.63,0.34,-231.37,-0.06,40724.19,20.36,14
214,Exit long,2025-05-27 15:00,Exit Long Add,42363,127,2691828.5,-1932.94,-0.07,1827.53,0.07,-1855.47,-0.07,38868.72,19.43,5
214,Entry long,2025-05-27 13:45,Long Add,42391,127,2691828.5,-1932.94,-0.07,1827.53,0.07,-1855.47,-0.07,38868.72,19.43,5
215,Exit long,2025-05-30 10:45,Exit Long,42223,17,359694.5,-819.74,-0.23,185.13,0.05,-809.37,-0.23,38048.98,19.02,3
215,Entry long,2025-05-30 10:00,Long,42317,17,359694.5,-819.74,-0.23,185.13,0.05,-809.37,-0.23,38048.98,19.02,3
216,Exit long,2025-06-03 13:45,Exit Long,42570,17,360850.5,973.76,0.27,1477.13,0.41,-180.37,-0.05,38945.27,19.47,11
216,Entry long,2025-06-03 11:00,Long,42453,17,360850.5,973.76,0.27,1477.13,0.41,-180.37,-0.05,38945.27,19.47,11
217,Exit long,2025-06-03 13:45,Exit Long Add,42570,127,2701988.5,1051.56,0.04,4812.03,0.18,-1664.97,-0.06,40074.3,20.04,5
217,Entry long,2025-06-03 12:30,Long Add,42551,127,2701988.5,1051.56,0.04,4812.03,0.18,-1664.97,-0.06,40074.3,20.04,5
218,Exit long,2025-06-27 12:45,Exit Long,44232,17,374059.5,1891.76,0.51,2378.13,0.64,-282.37,-0.08,41888.59,20.94,11
218,Entry long,2025-06-27 10:00,Long,44007,17,374059.5,1891.76,0.51,2378.13,0.64,-282.37,-0.08,41888.59,20.94,11
219,Exit long,2025-06-27 12:45,Exit Long Add,44232,127,2805112.5,3464.56,0.12,7098.03,0.25,-902.97,-0.03,45430.62,22.72,5
219,Entry long,2025-06-27 11:30,Long Add,44175,127,2805112.5,3464.56,0.12,7098.03,0.25,-902.97,-0.03,45430.62,22.72,5
220,Exit long,2025-07-01 11:30,Exit Long,44785,17,378709,1942.76,0.51,2548.13,0.67,-52.87,-0.01,47373.38,23.69,6
220,Entry long,2025-07-01 10:00,Long,44554,17,378709,1942.76,0.51,2548.13,0.67,-52.87,-0.01,47373.38,23.69,6
221,Exit long,2025-07-01 12:30,Exit Long,44808,17,381607.5,-760.24,-0.20,176.63,0.05,-749.87,-0.20,46613.14,23.31,2
221,Entry long,2025-07-01 12:00,Long,44895,17,381607.5,-760.24,-0.20,176.63,0.05,-749.87,-0.20,46613.14,23.31,2
222,Exit long,2025-08-12 11:15,Exit Long,44507,17,378292.5,-3.74,0.00,652.63,0.17,-698.87,-0.18,46609.4,23.30,5
222,Entry long,2025-08-12 10:00,Long,44505,17,378292.5,-3.74,0.00,652.63,0.17,-698.87,-0.18,46609.4,23.30,5
223,Exit long,2025-08-19 10:45,Exit Long,45188,17,384667.5,-590.24,-0.15,278.63,0.07,-579.87,-0.15,46019.16,23.01,2
223,Entry long,2025-08-19 10:15,Long,45255,17,384667.5,-590.24,-0.15,278.63,0.07,-579.87,-0.15,46019.16,23.01,2
224,Exit long,2025-08-22 12:15,Exit Long,45749,17,388849.5,-3.74,0.00,788.63,0.20,-596.87,-0.15,46015.42,23.01,6
224,Entry long,2025-08-22 10:45,Long,45747,17,388849.5,-3.74,0.00,788.63,0.20,-596.87,-0.15,46015.42,23.01,6
225,Exit long,2025-09-09 11:45,Exit Long,45622,17,388424.5,-658.24,-0.17,329.63,0.08,-647.87,-0.17,45357.18,22.68,2
225,Entry long,2025-09-09 11:15,Long,45697,17,388424.5,-658.24,-0.17,329.63,0.08,-647.87,-0.17,45357.18,22.68,2
226,Exit long,2025-09-23 10:15,Exit Long,46976,17,399738,-462.74,-0.12,227.63,0.06,-477.87,-0.12,44894.44,22.45,2
226,Entry long,2025-09-23 09:45,Long,47028,17,399738,-462.74,-0.12,227.63,0.06,-477.87,-0.12,44894.44,22.45,2
227,Exit long,2025-10-03 10:45,Exit Long,47210,17,399678.5,1585.76,0.40,2123.13,0.53,-324.87,-0.08,46480.2,23.24,4
227,Entry long,2025-10-03 09:45,Long,47021,17,399678.5,1585.76,0.40,2123.13,0.53,-324.87,-0.08,46480.2,23.24,4
228,Exit long,2025-10-03 12:45,Exit Long,47301,17,402050,-12.24,0.00,193.63,0.05,-231.37,-0.06,46467.96,23.23,3
228,Entry long,2025-10-03 12:00,Long,47300,17,402050,-12.24,0.00,193.63,0.05,-231.37,-0.06,46467.96,23.23,3
229,Exit long,2025-10-14 15:30,Exit Long,46614,14,322938,3342.92,1.04,4254.46,1.32,-211.54,-0.07,49746.83,24.87,21
229,Entry long,2025-10-14 10:15,Long,46134,14,322938,3342.92,1.04,4254.46,1.32,-211.54,-0.07,49746.83,24.87,21
230,Exit long,2025-10-14 15:30,Exit Long Add,46614,105,2439150,7956.9,0.33,14793.45,0.61,-3634.05,-0.15,57767.78,28.88,15
230,Entry long,2025-10-14 11:45,Long Add,46460,105,2439150,7956.9,0.33,14793.45,0.61,-3634.05,-0.15,57767.78,28.88,15
231,Exit long,2025-10-21 11:15,Exit Long,47276,17,400749.5,1075.76,0.27,1596.13,0.40,-188.87,-0.05,58843.54,29.42,3
231,Entry long,2025-10-21 10:30,Long,47147,17,400749.5,1075.76,0.27,1596.13,0.40,-188.87,-0.05,58843.54,29.42,3
232,Exit long,2025-10-24 10:30,Exit Long,47243,17,402245.5,-700.74,-0.17,270.13,0.07,-690.37,-0.17,58142.8,29.07,3
232,Entry long,2025-10-24 09:45,Long,47323,17,402245.5,-700.74,-0.17,270.13,0.07,-690.37,-0.17,58142.8,29.07,3
233,Exit long,2025-10-24 11:45,Exit Long,47433,17,403172,-12.24,0.00,295.63,0.07,-95.37,-0.02,58130.56,29.07,2
233,Entry long,2025-10-24 11:15,Long,47432,17,403172,-12.24,0.00,295.63,0.07,-95.37,-0.02,58130.56,29.07,2
234,Exit long,2025-11-04 10:45,Exit Long,47326,17,401854.5,395.76,0.10,1060.63,0.26,-35.87,-0.01,58526.32,29.26,4
234,Entry long,2025-11-04 09:45,Long,47277,17,401854.5,395.76,0.10,1060.63,0.26,-35.87,-0.01,58526.32,29.26,4
235,Exit long,2025-11-11 14:00,Exit Long,47959,17,406053.5,1577.26,0.39,2157.13,0.53,-78.37,-0.02,60026.11,30.01,9
