symbol,construct,n_trades,n_excluded_roll_outlier,n_excluded_no_stop_data,n_sessions_total,rt_cost_usd,hurdle_4x_usd,win_rate,mean_gross_usd,mean_net_usd,sum_net_usd,t_stat_net,vs_4x_hurdle
MGC,P1,1000,9,0,1040,2.8200000000000003,11.280000000000001,0.477,-13.222550000000032,-16.042550000000023,-16042.550000000023,-1.1907811232694847,-1.1722118794326268
MGC,P2,1025,9,0,1040,2.8200000000000003,11.280000000000001,0.511219512195122,-9.215512195121912,-12.035512195121907,-12336.399999999954,-0.9088269610444919,-0.8169780314824389
6J,P1,551,19,0,1765,8.07,32.28,0.4664246823956443,23.684210526315645,15.614210526315642,8603.429999999918,0.643339747315123,0.7337116024261352
6J,P2,1517,19,0,1765,8.07,32.28,0.42847725774555045,-5.487804878048651,-13.557804878048657,-20567.189999999813,-0.9659019991093974,-0.17000634690361371
