trade_date,direction,signal,stopped,raw_ret_pts,gross_usd,net_usd,r_multiple
2019-09-10,1.0,-0.004278081391078424,False,-3.0000000000000512e-05,-375.0000000000064,-383.0700000000064,-0.3870967741935556
2019-09-11,1.0,-0.0032206147000422834,False,-1.9999999999999185e-05,-249.99999999998983,-258.0699999999898,-0.27450980392155744
2019-09-12,1.0,-0.0021528533611009783,False,-3.0000000000000512e-05,-375.0000000000064,-383.0700000000064,-0.4210526315789544
2019-09-13,1.0,-0.00323799527377545,False,0.0,0.0,-8.07,0.0
2019-09-17,1.0,-0.0032171609517754637,False,-1.0000000000001327e-05,-125.00000000001658,-133.0700000000166,-0.13836477987423193
2019-09-18,1.0,-0.0010746911297656314,False,-3.0000000000000512e-05,-375.0000000000064,-383.0700000000064,-0.42857142857143476
2019-09-19,1.0,-0.0032275444908665993,False,3.0000000000000512e-05,375.0000000000064,366.93000000000643,0.44067796610170096
2019-09-20,-1.0,0.0032275444908665646,False,-4.0000000000000105e-05,-500.0000000000013,-508.0700000000013,-0.5743589743589748
2019-09-23,-1.0,0.0042872520116199915,False,-3.0000000000000512e-05,-375.0000000000064,-383.0700000000064,-0.43478260869565866
2019-09-24,-1.0,0.0032102756302481894,False,-4.99999999999997e-05,-624.9999999999962,-633.0699999999963,-0.7305936073059301
2019-09-25,-1.0,0.005333345975362603,False,6.0000000000001025e-05,750.0000000000128,741.9300000000128,0.8500000000000123
2019-09-26,1.0,-0.006410278360919166,False,-9.999999999999593e-06,-124.99999999999491,-133.0699999999949,-0.13636363636363044
2019-09-27,1.0,-0.0010723861617525938,False,-9.999999999999593e-06,-124.99999999999491,-133.0699999999949,-0.1362007168458723
2019-09-30,1.0,-0.00107353740852408,False,0.0,0.0,-8.07,0.0
2019-10-02,-1.0,0.003220614700042157,False,-4.0000000000000105e-05,-500.0000000000013,-508.0700000000013,-0.5280528052805283
2019-10-03,-1.0,0.004278081391078393,False,-2.000000000000092e-05,-250.0000000000115,-258.07000000001153,-0.25889967637541567
2019-10-04,-1.0,0.0021299262578250706,False,-0.0,-0.0,-8.07,-0.0
2019-10-08,1.0,-0.006389798098770898,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.12345679012345165
2019-10-09,-1.0,0.0010666667678024464,False,2.9999999999998778e-05,374.9999999999847,366.9299999999847,0.3636363636363487
2019-10-10,1.0,-0.003203419717537589,False,-4.0000000000000105e-05,-500.0000000000013,-508.0700000000013,-0.47619047619047694
2019-10-11,1.0,-0.004291852081541032,False,-5.000000000000143e-05,-625.0000000000178,-633.0700000000179,-0.579710144927552
2019-10-14,1.0,-0.005385042630887822,False,0.0,0.0,-8.07,0.0
2019-10-16,1.0,-0.004329011089585358,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.11111111111110662
2019-10-17,-1.0,0.0010840109462583103,False,-9.999999999999593e-06,-124.99999999999491,-133.0699999999949,-0.11111111111110676
2019-10-18,-1.0,0.0010828371388318981,False,-1.9999999999999185e-05,-249.99999999998983,-258.0699999999898,-0.22598870056496279
2019-10-21,-1.0,0.0021621630044950956,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.11396011396010958
2019-10-22,1.0,-0.0010816658707410232,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.1149425287356279
2019-10-23,-1.0,0.0010816658707409699,False,1.9999999999999185e-05,249.99999999998983,241.92999999998983,0.24024024024023158
2019-10-24,1.0,-0.0021645030095729027,False,0.0,0.0,-8.07,0.0
2019-10-29,1.0,-0.002169198247545438,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.1333333333333287
2019-10-30,-1.0,0.0010863662122207896,False,-0.0,-0.0,-8.07,-0.0
2019-11-01,-1.0,0.007571696530893733,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.14336917562723478
2019-11-04,1.0,-0.0010781672203453326,False,-2.9999999999998778e-05,-374.9999999999847,-383.0699999999847,-0.4444444444444282
2019-11-05,1.0,-0.003245000143327078,False,-4.99999999999997e-05,-624.9999999999962,-633.0699999999963,-0.775193798449611
2019-11-06,1.0,-0.005431843882361617,False,1.9999999999999185e-05,249.99999999998983,241.92999999998983,0.30651340996167414
2019-11-07,-1.0,0.0021762794225954484,False,3.0000000000000512e-05,375.0000000000064,366.93000000000643,0.4761904761904871
2019-11-08,1.0,-0.003266197786621181,False,0.0,0.0,-8.07,0.0
2019-11-12,-1.0,0.002178650099222394,False,-0.0,-0.0,-8.07,-0.0
2019-11-14,-1.0,0.0021739138996197454,False,-3.0000000000000512e-05,-375.0000000000064,-383.0700000000064,-0.5263157894736942
2019-11-15,-1.0,0.003252035386377316,False,4.0000000000000105e-05,500.0000000000013,491.9300000000013,0.6926406926406962
2019-11-18,1.0,-0.00433840159859813,False,1.0000000000001327e-05,125.00000000001658,116.93000000001658,0.17094017094019376
2019-11-19,-1.0,0.001085187301287205,False,-9.999999999999593e-06,-124.99999999999491,-133.0699999999949,-0.1666666666666598
2019-11-20,-1.0,0.0010840109462583103,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.16460905349793534
2019-11-21,1.0,-0.0010840109462583367,False,-9.999999999999593e-06,-124.99999999999491,-133.0699999999949,-0.16666666666665944
2019-11-22,1.0,-0.0010840109462583367,False,0.0,0.0,-8.07,0.0
2019-11-26,1.0,-0.002173913899619685,False,-9.999999999999593e-06,-124.99999999999491,-133.0699999999949,-0.16460905349793498
2019-11-27,1.0,-0.0010887317351965606,False,-4.0000000000000105e-05,-500.0000000000013,-508.0700000000013,-0.6666666666666652
2019-11-28,1.0,-0.004366819166340514,False,0.0,0.0,-8.07,0.0
2019-12-02,-1.0,0.0010934938213712896,False,-4.0000000000000105e-05,-500.0000000000013,-508.0700000000013,-0.7511737089201855
2019-12-03,-1.0,0.0043668191663403895,False,-2.9999999999998778e-05,-374.9999999999847,-383.0699999999847,-0.5333333333333073
2019-12-04,-1.0,0.003262645634816148,False,1.9999999999999185e-05,249.99999999998983,241.92999999998983,0.35555555555553825
2019-12-05,1.0,-0.002173913899619685,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.17316017316016458
2019-12-06,-1.0,0.001087547687398919,False,-9.999999999999593e-06,-124.99999999999491,-133.0699999999949,-0.18264840182647532
2019-12-09,-1.0,0.0010863662122207896,False,-0.0,-0.0,-8.07,-0.0
2019-12-11,1.0,-0.0010863662122208519,False,3.0000000000000512e-05,375.0000000000064,366.93000000000643,0.5479452054794577
2019-12-12,-1.0,0.0032591012009069243,False,5.999999999999929e-05,749.9999999999911,741.9299999999911,1.1111111111110898
2019-12-13,1.0,-0.0065359709797854215,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.17777777777776912
2019-12-16,-1.0,0.001087547687398919,False,1.9999999999999185e-05,249.99999999998983,241.92999999998983,0.35555555555553825
2019-12-17,1.0,-0.002176279422595406,False,0.0,0.0,-8.07,0.0
2019-12-19,1.0,-0.0010887317351965606,False,1.9999999999999185e-05,249.99999999998983,241.92999999998983,0.3755868544600746
2019-12-20,-1.0,0.0021762794225954484,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.1877934272300373
2019-12-23,1.0,-0.0010887317351965606,False,9.999999999999593e-06,124.99999999999491,116.92999999999492,0.18779342723003778
