exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars
2025-04-08,75,X-Short,6,-337.2,-56.199999999999996,37.2,-356.1,693.9,1
2025-04-16,76,X-Short,7,-43.4,-6.2,43.4,-240.45,328.3,1
2025-04-21,77,X-Short,8,1750.4,218.8,49.6,-174.8,1775.2,2
2025-04-28,78,X-Short,8,-899.6,-112.45,49.6,-874.8,75.2,0
2025-05-13,79,X-Short,8,0.4,0.05,49.6,-124.8,1025.2,4
2025-05-21,80,EOD Flat,8,1600.4,200.05,49.6,-174.8,2125.2,13
2025-05-26,81,X-Short,8,50.4,6.3,49.6,-224.8,275.2,4
2025-06-02,82,X-Short,8,50.4,6.3,49.6,-174.8,525.2,1
2025-06-04,83,X-Short,8,-99.6,-12.45,49.6,-424.8,225.2,1
2025-06-16,84,X-Short,8,1750.4,218.8,49.6,-574.8,1775.2,5
2025-06-23,85,X-Short,8,-199.6,-24.95,49.6,-974.8,225.2,1
2025-06-25,86,X-Short,8,-199.6,-24.95,49.6,-224.8,125.2,1
2025-07-09,87,X-Short,8,100.4,12.55,49.6,-174.8,325.2,1
2025-07-21,88,X-Short,8,-399.6,-49.95,49.6,-474.8,325.2,1
2025-08-19,89,X-Short,8,0.4,0.05,49.6,-24.8,425.2,1
2025-08-20,90,X-Short,8,-199.6,-24.95,49.6,-224.8,225.2,1
