exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars
2025-08-26,1,EOD flat,2,349.36,174.68,3.64,-160.82,367.18,27
2025-08-27,2,SL/TP Long,2,31.36,15.68,3.64,-104.82,357.18,19
2025-08-28,3,EOD flat,2,66.36,33.18,3.64,-316.82,239.18,22
2025-09-02,4,EOD flat,2,578.36,289.18,3.64,-829.82,610.18,28
2025-09-03,5,EOD flat,2,-11.64,-5.82,3.64,-557.82,273.18,27
2025-09-04,6,EOD flat,2,536.36,268.18,3.64,-144.82,640.18,22
2025-09-08,7,EOD flat,2,-198.64,-99.32,3.64,-355.82,162.18,27
2025-09-09,8,EOD flat,2,119.36,59.68,3.64,-92.82,238.18,6
2025-09-11,9,EOD flat,2,29.36,14.68,3.64,-206.82,201.18,27
2025-09-12,10,EOD flat,2,198.36,99.18,3.64,0.0,379.18,26
2025-09-17,11,EOD flat,2,-163.64,-81.82,3.64,-377.82,37.18,6
2025-09-18,12,EOD flat,2,-4.64,-2.32,3.64,-117.82,406.18,27
2025-09-19,13,EOD flat,2,277.36,138.68,3.64,-332.82,387.18,28
2025-09-22,14,EOD flat,2,491.36,245.68,3.64,-72.82,617.18,28
2025-09-25,15,EOD flat,2,187.36,93.68,3.64,-536.82,437.18,26
2025-09-26,16,EOD flat,2,54.36,27.18,3.64,-772.82,133.18,27
2025-09-29,17,EOD flat,2,-524.64,-262.32,3.64,-645.82,132.18,28
2025-09-30,18,EOD flat,2,25.36,12.68,3.64,-400.82,329.18,24
2025-10-01,19,EOD flat,2,664.36,332.18,3.64,0.0,779.18,26
2025-10-06,20,EOD flat,2,-156.64,-78.32,3.64,-192.82,122.18,14
2025-10-08,21,EOD flat,2,716.36,358.18,3.64,-7.82,760.18,28
2025-10-13,22,EOD flat,2,61.36,30.68,3.64,-581.82,304.18,28
2025-10-14,23,EOD flat,2,428.36,214.18,3.64,0.0,1197.18,26
2025-10-15,24,SL/TP Long,2,-985.64,-492.82,3.64,-983.82,394.18,12
2025-10-16,25,SL/TP Long,2,-705.64,-352.82,3.64,-703.82,292.18,8
2025-10-17,26,EOD flat,2,836.36,418.18,3.64,-594.82,924.18,28
2025-10-20,27,EOD flat,2,400.36,200.18,3.64,-40.82,518.18,27
2025-10-21,28,EOD flat,2,-163.64,-81.82,3.64,-305.82,169.18,20
2025-10-22,29,SL/TP Long,2,-1063.64,-531.82,3.64,-1061.82,7.18,6
2025-10-23,30,EOD flat,2,461.36,230.68,3.64,-309.82,535.18,28
2025-10-24,31,EOD flat,2,-87.64,-43.82,3.64,-395.82,150.18,27
2025-11-07,32,EOD flat,2,423.36,211.68,3.64,-387.82,431.18,7
2025-11-10,33,EOD flat,2,319.36,159.68,3.64,-752.82,478.18,27
2025-11-11,34,EOD flat,2,47.36,23.68,3.64,-157.82,196.18,14
2025-11-14,35,EOD flat,2,771.36,385.68,3.64,-365.82,1358.18,28
2025-11-17,36,EOD flat,2,-1181.64,-590.82,3.64,-1873.82,62.18,28
2025-11-19,37,EOD flat,2,256.36,128.18,3.64,-1547.82,372.18,28
2025-11-20,38,SL/TP Long,2,-1104.64,-552.32,3.64,-1102.82,142.18,6
2025-11-21,39,SL/TP Long,2,496.36,248.18,3.64,-309.82,1263.18,14
2025-11-24,40,EOD flat,2,955.36,477.68,3.64,-167.82,1081.18,27
2025-11-25,41,EOD flat,2,724.36,362.18,3.64,-176.82,1012.18,22
2025-11-26,42,EOD flat,2,168.36,84.18,3.64,-32.82,415.18,24
2025-12-01,43,EOD flat,2,153.36,76.68,3.64,-379.82,538.18,28
2025-12-02,44,EOD flat,2,-30.64,-15.32,3.64,-799.82,225.18,27
2025-12-03,45,EOD flat,2,425.36,212.68,3.64,-154.82,588.18,27
2025-12-05,46,EOD flat,2,-229.64,-114.82,3.64,-562.82,304.18,28
2025-12-09,47,EOD flat,2,87.36,43.68,3.64,-119.82,338.18,27
2025-12-10,48,EOD flat,2,525.36,262.68,3.64,-356.82,806.18,16
2025-12-11,49,EOD flat,2,611.36,305.68,3.64,-205.82,724.18,13
2025-12-16,50,EOD flat,2,-297.64,-148.82,3.64,-900.82,195.18,28
2025-12-18,51,EOD flat,2,-447.64,-223.82,3.64,-581.82,347.18,26
2025-12-19,52,EOD flat,2,156.36,78.18,3.64,-394.82,170.18,28
2025-12-23,53,EOD flat,2,290.36,145.18,3.64,-47.82,336.18,24
2026-01-02,54,SL/TP Long,2,-961.64,-480.82,3.64,-959.82,182.18,1
2026-01-05,55,EOD flat,2,-384.64,-192.32,3.64,-501.82,136.18,26
2026-01-06,56,EOD flat,2,307.36,153.68,3.64,-458.82,336.18,28
2026-01-07,57,EOD flat,2,-116.64,-58.32,3.64,-223.82,532.18,27
2026-01-09,58,EOD flat,2,556.36,278.18,3.64,-122.82,777.18,26
2026-01-12,59,EOD flat,2,159.36,79.68,3.64,-152.82,475.18,28
2026-01-20,60,EOD flat,2,-861.64,-430.82,3.64,-1035.82,288.18,26
2026-01-21,61,SL/TP Long,2,536.36,268.18,3.64,-731.82,1310.18,23
2026-01-23,62,SL/TP Long,2,164.36,82.18,3.64,-21.82,710.18,12
2026-01-26,63,EOD flat,2,89.36,44.68,3.64,-142.82,376.18,28
2026-01-27,64,EOD flat,2,221.36,110.68,3.64,-125.82,262.18,28
2026-02-02,65,EOD flat,2,475.36,237.68,3.64,-157.82,782.18,28
2026-02-06,66,EOD flat,2,715.36,357.68,3.64,-432.82,1173.18,25
2026-02-09,67,EOD flat,2,830.36,415.18,3.64,0.0,1103.18,27
2026-02-10,68,EOD flat,2,-615.64,-307.82,3.64,-853.82,144.18,27
2026-02-13,69,EOD flat,2,-114.64,-57.32,3.64,-331.82,779.18,27
2026-02-17,70,EOD flat,2,-186.64,-93.32,3.64,-321.82,293.18,13
2026-02-18,71,SL/TP Long,2,45.36,22.68,3.64,-16.82,749.18,19
2026-02-19,72,EOD flat,2,-193.64,-96.82,3.64,-543.82,311.18,27
2026-02-20,73,EOD flat,2,513.36,256.68,3.64,-355.82,761.18,27
2026-02-24,74,EOD flat,2,413.36,206.68,3.64,-373.82,671.18,27
2026-02-25,75,EOD flat,2,464.36,232.18,3.64,-316.82,604.18,28
2026-02-27,76,EOD flat,2,164.36,82.18,3.64,-148.82,504.18,27
2026-03-02,77,EOD flat,2,443.36,221.68,3.64,-175.82,856.18,27
2026-03-03,78,EOD flat,2,196.36,98.18,3.64,-239.82,754.18,20
2026-03-04,79,EOD flat,2,663.36,331.68,3.64,0.0,983.18,27
2026-03-05,80,EOD flat,2,-706.64,-353.32,3.64,-1649.82,87.18,28
2026-03-06,81,SL/TP Long,2,26.36,13.18,3.64,0.0,752.18,20
2026-03-09,82,EOD flat,2,1723.36,861.68,3.64,0.0,2113.18,25
2026-03-10,83,EOD flat,2,-294.64,-147.32,3.64,-563.82,544.18,25
2026-03-11,84,EOD flat,2,-677.64,-338.82,3.64,-969.82,255.18,27
2026-03-17,85,EOD flat,2,-269.64,-134.82,3.64,-590.82,17.18,28
2026-03-19,86,EOD flat,2,429.36,214.68,3.64,-526.82,730.18,27
2026-03-23,87,EOD flat,2,-804.64,-402.32,3.64,-1182.82,357.18,28
2026-03-24,88,EOD flat,2,340.36,170.18,3.64,-629.82,920.18,24
2026-03-26,89,SL/TP Long,2,-1167.64,-583.82,3.64,-1165.82,99.18,15
2026-03-31,90,SL/TP Long,2,548.36,274.18,3.64,-802.82,1127.18,12
2026-04-01,91,EOD flat,2,-30.64,-15.32,3.64,-281.82,615.18,26
2026-04-02,92,EOD flat,2,1282.36,641.18,3.64,-159.82,1477.18,28
2026-04-06,93,EOD flat,2,-278.64,-139.32,3.64,-864.82,137.18,28
2026-04-07,94,EOD flat,2,372.36,186.18,3.64,0.0,590.18,4
2026-04-09,95,EOD flat,2,512.36,256.18,3.64,-21.82,639.18,21
2026-04-10,96,EOD flat,2,-161.64,-80.82,3.64,-602.82,83.18,25
2026-04-13,97,EOD flat,2,1105.36,552.68,3.64,-252.82,1128.18,28
2026-04-14,98,EOD flat,2,932.36,466.18,3.64,0.0,993.18,27
2026-04-15,99,SL/TP Long,2,268.36,134.18,3.64,-89.82,732.18,12
2026-04-16,100,EOD flat,2,39.36,19.68,3.64,-396.82,434.18,23
2026-04-17,101,EOD flat,2,133.36,66.68,3.64,-287.82,300.18,25
2026-04-21,102,SL/TP Long,2,-1127.64,-563.82,3.64,-1125.82,181.18,23
2026-04-22,103,EOD flat,2,847.36,423.68,3.64,0.0,979.18,27
2026-04-23,104,SL/TP Long,2,-1043.64,-521.82,3.64,-1041.82,350.18,11
2026-04-24,105,EOD flat,2,690.36,345.18,3.64,-402.82,781.18,27
2026-04-27,106,EOD flat,2,-51.64,-25.82,3.64,-162.82,87.18,13
2026-04-29,107,EOD flat,2,-386.64,-193.32,3.64,-629.82,658.18,26
2026-04-30,108,EOD flat,2,326.36,163.18,3.64,0.0,438.18,12
2026-05-01,109,EOD flat,2,-359.64,-179.82,3.64,-481.82,182.18,28
