exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars,is_scalein
2020-09-29,27,Scale-in Long,2,-199.64,-99.82,3.64,-316.82,28.18,26,True
2020-09-30,28,ORB Long,2,19.36,9.68,3.64,-54.82,348.18,13,False
2020-09-30,29,Scale-in Long,2,1.36,0.68,3.64,-24.82,330.18,12,True
2020-10-01,30,ORB Long,2,10.36,5.18,3.64,-291.82,117.18,11,False
2020-10-01,31,Scale-in Long,2,108.36,54.18,3.64,-193.82,215.18,11,True
2020-10-02,32,ORB Long,2,-673.64,-336.82,3.64,-867.82,187.18,26,False
2020-10-02,33,Scale-in Long,2,-830.64,-415.32,3.64,-1024.82,30.18,26,True
2020-10-05,35,Scale-in Long,2,228.36,114.18,3.64,-95.82,343.18,26,True
2020-10-05,34,ORB Long,2,381.36,190.68,3.64,0.0,496.18,26,False
2020-10-06,36,ORB Long,2,-433.64,-216.82,3.64,-431.82,76.18,7,False
2020-10-06,37,Scale-in Long,2,-479.64,-239.82,3.64,-477.82,30.18,7,True
2020-10-07,38,ORB Long,2,158.36,79.18,3.64,-165.82,291.18,22,False
2020-10-07,39,Scale-in Long,2,164.36,82.18,3.64,-159.82,297.18,20,True
2020-10-09,40,ORB Long,2,362.36,181.18,3.64,-80.82,428.18,27,False
2020-10-09,41,Scale-in Long,2,389.36,194.68,3.64,-53.82,455.18,26,True
2020-10-12,42,ORB Long,2,579.36,289.68,3.64,0.0,1002.18,18,False
2020-10-12,43,Scale-in Long,2,497.36,248.68,3.64,-3.82,920.18,18,True
2020-10-13,44,ORB Long,2,-379.64,-189.82,3.64,-624.82,29.18,20,False
2020-10-15,46,Scale-in Long,2,-88.64,-44.32,3.64,-126.82,55.18,5,True
2020-10-15,45,ORB Long,2,37.36,18.68,3.64,-503.82,181.18,27,False
2020-10-16,47,ORB Long,2,-495.64,-247.82,3.64,-493.82,182.18,23,False
2020-10-16,48,Scale-in Long,2,-529.64,-264.82,3.64,-527.82,148.18,23,True
2020-10-20,49,ORB Long,2,-208.64,-104.32,3.64,-420.82,352.18,27,False
2020-10-20,50,Scale-in Long,2,-288.64,-144.32,3.64,-500.82,272.18,26,True
2020-10-21,51,ORB Long,2,-348.64,-174.32,3.64,-576.82,17.18,27,False
2020-10-26,52,ORB Long,2,-980.64,-490.32,3.64,-978.82,109.18,12,False
2020-10-26,53,Scale-in Long,2,-952.64,-476.32,3.64,-950.82,93.18,11,True
2020-10-27,54,ORB Long,2,-27.64,-13.82,3.64,-295.82,251.18,26,False
2020-10-27,55,Scale-in Long,2,-3.64,-1.82,3.64,-66.82,275.18,23,True
2020-10-29,57,Scale-in Long,2,358.36,179.18,3.64,-34.82,808.18,23,True
2020-10-29,56,ORB Long,2,335.36,167.68,3.64,-60.82,785.18,24,False
2020-11-02,58,ORB Long,2,-765.64,-382.82,3.64,-763.82,94.18,12,False
2020-11-02,59,Scale-in Long,2,-763.64,-381.82,3.64,-761.82,96.18,12,True
2020-11-03,60,ORB Long,2,282.36,141.18,3.64,-12.82,593.18,15,False
2020-11-03,61,Scale-in Long,2,29.36,14.68,3.64,-6.82,340.18,14,True
2020-11-04,62,ORB Long,2,569.36,284.68,3.64,0.0,696.18,26,False
2020-11-04,63,Scale-in Long,2,331.36,165.68,3.64,-77.82,458.18,26,True
2020-11-05,64,ORB Long,2,100.36,50.18,3.64,-363.82,184.18,27,False
2020-11-05,65,Scale-in Long,2,90.36,45.18,3.64,-373.82,174.18,26,True
2020-11-06,67,Scale-in Long,2,18.36,9.18,3.64,-244.82,75.18,14,True
2020-11-06,66,ORB Long,2,86.36,43.18,3.64,-186.82,143.18,18,False
2020-11-09,69,Scale-in Long,2,-1542.64,-771.32,3.64,-1669.82,119.18,25,True
2020-11-09,68,ORB Long,2,-1492.64,-746.32,3.64,-1619.82,172.18,26,False
2020-11-11,70,ORB Long,2,295.36,147.68,3.64,-196.82,381.18,25,False
2020-11-11,71,Scale-in Long,2,424.36,212.18,3.64,-67.82,510.18,24,True
2020-11-12,72,ORB Long,2,-411.64,-205.82,3.64,-755.82,41.18,24,False
2020-11-12,73,Scale-in Long,2,-409.64,-204.82,3.64,-753.82,15.18,24,True
2020-11-13,74,ORB Long,2,87.36,43.68,3.64,-9.82,113.18,4,False
2020-11-13,75,Scale-in Long,2,-11.64,-5.82,3.64,-108.82,14.18,4,True
