exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars
2025-08-26,1,X-Short,8,1700.4,212.55,49.6,-224.8,1725.2,7
2025-08-27,2,X-Short,8,-49.6,-6.2,49.6,-174.8,225.2,1
2025-09-03,3,X-Short,8,-249.6,-31.2,49.6,-524.8,225.2,2
2025-09-10,4,X-Short,8,50.4,6.3,49.6,-74.8,475.2,1
2025-09-22,5,X-Short,8,0.4,0.05,49.6,-174.8,325.2,3
2025-09-23,6,X-Short,8,50.4,6.3,49.6,-174.8,425.2,1
2025-10-14,7,X-Short,8,0.4,0.05,49.6,-124.8,525.2,1
2025-10-20,8,X-Short,8,-49.6,-6.2,49.6,-624.8,275.2,2
2025-10-22,9,X-Short,8,1150.4,143.8,49.6,-74.8,1175.2,4
2025-11-03,10,X-Short,8,850.4,106.3,49.6,-74.8,875.2,12
2025-11-12,11,EOD Flat,8,1100.4,137.55,49.6,-224.8,1275.2,18
2025-11-25,12,X-Short,8,50.4,6.3,49.6,-274.8,325.2,1
2025-12-03,13,X-Short,8,100.4,12.55,49.6,-174.8,725.2,1
2025-12-10,14,X-Short,8,0.4,0.05,49.6,-124.8,275.2,1
2025-12-17,15,X-Short,8,-99.6,-12.45,49.6,-274.8,375.2,1
2025-12-24,16,EOD Flat,8,950.4,118.8,49.6,-24.8,1025.2,10
2026-01-27,17,X-Short,6,37.8,6.3,37.2,-131.1,656.4,1
2026-02-11,18,X-Short,5,62.75,12.55,31.0,-796.75,359.5,4
2026-02-23,19,X-Short,8,50.4,6.3,49.6,-74.8,325.2,1
2026-02-25,20,X-Short,8,50.4,6.3,49.6,-224.8,275.2,1
2026-03-03,21,X-Short,8,0.4,0.05,49.6,-174.8,975.2,3
2026-03-09,22,X-Short,8,1450.4,181.3,49.6,-174.8,1475.2,8
2026-03-10,23,X-Short,8,1250.4,156.3,49.6,-24.8,1275.2,2
2026-03-16,24,X-Short,8,1400.4,175.05,49.6,-24.8,1425.2,3
2026-04-13,25,X-Short,8,0.4,0.05,49.6,-474.8,175.2,13
2026-04-15,26,X-Short,8,1200.4,150.05,49.6,-24.8,1225.2,5
2026-05-19,27,X-Short,8,0.4,0.05,49.6,-74.8,525.2,1
2026-05-20,28,X-Short,8,-399.6,-49.95,49.6,-374.8,75.2,0
2026-06-22,29,X-Short,8,-599.6,-74.95,49.6,-574.8,75.2,0
2026-07-01,30,X-Short,8,0.4,0.05,49.6,-274.8,275.2,1
2026-07-15,31,X-Short,8,-249.6,-31.2,49.6,-274.8,75.2,1
2026-08-05,32,X-Short,8,1150.4,143.8,49.6,-124.8,1175.2,6
