event_date,thursday_close,friday_open,friday_noon,overnight_spike_bp,short_reversal_bp
2019-05-17,25859.0,25642.0,25888.0,-84.27070705260553,-95.4790874557216
2019-06-21,26761.0,26754.0,26828.0,-2.616088961944252,-27.6212336409627
2019-07-19,27208.0,27322.0,27257.0,41.811907604011104,23.818696103039255
2019-08-16,25569.0,25731.0,25860.0,63.158104681239735,-50.00882667317387
2019-09-20,27085.0,27141.0,27133.0,20.654306018519815,2.9480045907576975
2019-10-18,26990.0,26920.0,26861.0,-25.96922253386225,21.940842925516503
2019-11-15,27746.0,27862.0,27896.0,41.72067625499298,-12.195560893169738
2019-12-20,28390.0,28504.0,28499.0,40.07457818655028,1.754293638167918
2020-01-17,29252.0,29322.0,29295.0,23.90140107368072,9.212345193208751
2020-02-21,29197.0,29080.0,29011.0,-40.15311604802922,23.755842539997595
2020-03-20,19940.0,20195.0,19979.0,127.07284481683864,107.53327097564339
2020-04-17,23400.0,24039.0,23810.0,269.414891003874,95.7185096527179
2020-05-15,23541.0,23334.0,23372.0,-88.3205741178057,-16.27200290525434
2020-06-19,25941.0,26301.0,26055.0,137.8223262815532,93.97272913380259
2020-07-17,26617.0,26685.0,26594.0,25.51500389886605,34.159833513940484
2020-08-21,27675.0,27647.0,27711.0,-10.122556086503039,-23.122232925324795
2020-09-18,27789.0,27795.0,27761.0,2.1588946543267347,12.239903608886173
2020-10-16,28388.0,28509.0,28636.0,42.533062345513464,-44.448406366505985
2020-11-20,29426.0,29382.0,29296.0,-14.963953275199215,29.312540160804698
2020-12-18,30207.0,30211.0,30022.0,1.3241087112595407,62.75650234729136
2021-01-15,30902.0,30707.0,30746.0,-63.30265096779017,-12.692628589601668
2021-02-19,31444.0,31510.0,31561.0,20.967698376732628,-16.172253845831914
2021-03-19,32768.0,32707.0,32619.0,-18.63307144677898,26.941815886425314
2021-04-16,33928.0,34071.0,34017.0,42.05950405329363,15.86182919806558
2021-05-21,34042.0,34184.0,34252.0,41.62641955942496,-19.87258822221823
2021-06-18,33697.0,33304.0,33306.0,-117.31302731544291,-0.6005104340489933
2021-07-16,34867.0,34967.0,34784.0,28.639364307097768,52.4724863837035
2021-08-20,34829.0,34841.0,35041.0,3.444811287116242,-57.239502607198816
2021-09-17,34630.0,34561.0,34440.0,-19.944797119049728,35.071991428955684
2021-10-15,34784.0,35048.0,35059.0,75.6103957279846,-3.13806041915031
2021-11-19,35819.0,35736.0,35623.0,-23.198948284505573,31.67087387808648
2021-12-17,35778.0,35545.0,35321.0,-65.33679987577445,63.21811475698982
2022-01-21,34600.0,34604.0,34547.0,1.1560025444921074,16.485665546244096
2022-02-18,34233.0,34193.0,33991.0,-11.691463641406049,59.251610634890596
2022-03-18,34379.0,34255.0,34257.0,-36.13373398513815,-0.5838393275825783
