date,m0_bp,rev_ret_bp,long_uncond_bp
2010-06-09,-32.345041676590405,52.50769384630277,-18.85522444138177
2010-06-16,-32.66482292933707,37.8813071373515,15.641296202426133
2010-06-23,10.555483233657117,3.957000645181475,-22.46746468135691
2010-06-30,-13.114755978106444,-72.44022458235577,-76.30611949289182
2010-07-08,-3.9611804835642435,-6.6054563469179195,-19.821612039913223
2010-07-14,-23.434459364156034,45.51669214719101,-2.6011184956132287
2010-07-21,-19.408688243145363,-10.366723748165677,-45.34567593880104
2010-07-28,-31.43421055951273,19.657957971875266,20.901379261791266
2010-08-04,-42.59209359396122,28.009517185511147,-10.934938213712185
2010-08-11,-29.2676928397574,7.643312474013551,-3.8126708220637844
2010-08-18,5.369127645760014,79.48846164378836,-14.779982536028179
2010-08-25,-80.07347693805605,28.169032711131518,-77.2530002588026
2010-09-01,61.01300196177113,21.65088802455589,25.80646593491713
2010-09-09,7.9291665314644435,-21.113758173496826,15.852050875660318
2010-09-15,-19.842588691850743,21.164029063776937,22.440772403362793
2010-09-22,-29.341178691987036,18.681617389510638,-17.32756181625882
2010-09-29,22.281941193441373,53.82356282239916,-43.395426112126515
2010-10-06,-16.945053679382976,47.132844520981365,33.80420942118562
2010-10-14,24.021150152446182,-26.35679014712425,31.21625778986975
2010-10-20,84.54607118614022,-55.55912803946776,143.79818874255943
2010-10-27,24.621457717102178,14.765598843643856,17.241383581397326
2010-11-03,-4.711425293277339,-27.13385726583251,-29.482891808694678
2010-11-10,2.296211261524825,5.741517066491833,28.664813527667043
2010-11-17,13.377928416599534,8.511156207144998,4.866772209455275
2010-11-24,31.718948150114933,-19.469463438955785,62.12334980278172
2010-12-01,4.673989334915478,-17.508028983530384,-9.354537632580268
2010-12-08,-32.990189752402095,-37.67342774175148,-63.803338240420004
2010-12-15,32.733253449691084,-30.37977020076801,39.49229392330025
2010-12-22,-20.984048784466683,8.840756460447992,-13.24795954414289
2010-12-29,3.2849712860415226,-2.1893815084705226,0.0
2011-01-05,-11.29305597151414,1.1298796690170199,-15.813851708545172
2011-01-12,-6.532389998215872,33.70484299764773,29.343062949348447
2011-01-20,-11.327595230274325,-18.15088416645404,-12.46106080247183
2011-01-26,-20.879255932198607,34.77458007624772,24.304161029008085
2011-02-02,-18.64546742538072,38.34990729836764,28.44952132231123
2011-02-09,-1.1417480174537524,-32.02198527695839,-28.582881175827136
2011-02-16,-14.112668460161,-21.206416995382476,-24.710255557383896
2011-02-24,23.16331163065772,24.171630260199436,-1.0083186295410353
2011-03-02,3.9773292758595837,58.82663158155549,-74.8693290124271
2011-03-09,-25.66663322634996,47.47896109307864,11.386280763329731
2011-03-16,24.18868343262281,6.0416878285267615,26.20176849226367
2011-03-23,10.425058992797956,-33.09852187094786,31.242628963595966
2011-03-30,-42.36478510340541,34.675434474635395,-30.792941960613813
2011-04-06,-28.57539852909915,21.208915691376294,-17.50426537502606
2011-04-13,-36.54598079677036,80.41184048691916,14.95467144770147
2011-04-20,14.511157997142309,2.719238629943779,-1.815376241711207
2011-04-27,11.704858852208686,-28.753726343228774,52.11621105048096
2011-05-04,-43.80768163228462,-25.64338798755344,-63.95051942614508
2011-05-11,-25.734944422010255,-36.73736942234593,-20.78077042917806
2011-05-18,23.14699367904124,-14.063287099335135,41.22473285958743
2011-05-25,53.39256123382345,6.030150936495921,73.46684279186756
2011-06-02,9.969096628642333,-6.972459070261414,19.92826486541168
2011-06-08,-30.810539704123936,-0.9954706095517682,0.9923096014095624
2011-06-15,-44.39071050537995,93.59500719667416,-18.136025122147956
2011-06-22,11.564948983886854,57.958958812500285,-36.886799478534954
2011-06-29,-12.717254787288782,34.933608807295734,10.585372005663713
2011-07-07,-7.110569653039601,91.03846004373054,73.85333785613024
2011-07-13,20.389445334716658,-13.230880765805452,49.88049228471163
2011-07-20,15.281954988769908,-10.175011052865196,21.388203906368513
2011-07-27,10.250103398459524,9.224620138577144,-6.155108934578022
2011-08-03,-45.60763687908957,33.682869896055095,-41.255079683061915
2011-08-10,45.7836597550808,119.22644956906034,-83.44279064731376
2011-08-17,11.322464977715564,-21.477428704684257,-6.7996376146592645
2011-08-24,-36.15796789462668,59.41649681192588,48.78058453432773
2011-08-31,10.11406503029568,30.372935211865787,-8.998875747879675
2011-09-08,6.688963460101634,3.3439224521596014,-1.1152623666285677
2011-09-14,11.209506834558162,82.11981578166198,-35.95509491441363
2011-09-21,36.84517697384059,-36.709918477084415,58.657940343848786
2011-09-28,1.2019953136651593,-41.97907214239658,-15.639100931887999
2011-10-05,22.96798253530906,28.079150548446286,2.554604688819474
2011-10-13,9.553380234591716,5.969793025482588,-1.1948145064697744
2011-10-19,-5.611987351958581,0.0,4.487323386941561
