,zVIX,zCRED,zMOVE,zDXY,composite_eqw,composite_pca1,state_eqw,state_pca1
2016-04-05,-0.6133743413829752,1.8324760236838264,-0.7459855767968617,1.8406660194588622,0.5784455312407129,1.0214436959063138,off,off
2016-04-06,-0.7472005808966449,1.7439761458659664,-0.7052138325314462,1.8092252108590625,0.5251967358242344,0.9214997412939753,off,off
2016-04-07,-0.5383403248527447,1.813994202124811,-0.6650383809082274,1.8149304945695126,0.6063864977333379,1.0529658910204056,off,off
2016-04-08,-0.6188236805733932,1.748179157795574,-0.6709056934056316,1.7776543457981124,0.5590260324036654,0.9643575115007665,off,off
2016-04-11,-0.5279059758503524,1.73308566275899,-0.7028264745330238,1.7330761460859054,0.5588573396153798,0.9532408439749506,off,off
2016-04-12,-0.669918838702356,1.6383640083890714,-0.7312585751906105,1.7330275262009218,0.4925535301742566,0.8493065067291582,off,off
2016-04-13,-0.7715386850351402,1.6073377693643518,-0.7683635543590023,1.846901163692379,0.4785841734156471,0.8700447070426485,off,off
2016-04-14,-0.7833669866445354,1.6031153848947157,-0.7672256415950182,1.8687637056594142,0.48032161557864406,0.8805629130553045,off,off
2016-04-15,-0.7931722491131799,1.6568524634000181,-0.7967855808400955,1.8373614740035162,0.47606402686256477,0.862828096064582,off,off
2016-04-18,-0.8201153461617652,1.6117011970275608,-0.8008430979504938,1.804575005089819,0.4488294395012802,0.8100732586963995,off,off
2016-04-19,-0.8309068089104915,1.587733808029121,-0.797657332605806,1.7275853692712537,0.4216887589460193,0.738823018544895,off,off
2016-04-20,-0.826563721161264,1.5416685303906015,-0.758844781463145,1.8013400150091772,0.4394000106938424,0.7924736270397512,off,off
2016-04-21,-0.7586780203048042,1.5664543261737909,-0.7345364947887518,1.81588479108007,0.4722811505400762,0.8489487953153079,off,off
2016-04-22,-0.8320538092223472,1.5538203511795878,-0.7580460671745691,1.890823252394514,0.4636359317942964,0.8633845741701963,off,off
2016-04-25,-0.7449858799264745,1.567045262917061,-0.7545965516957028,1.8476743866197762,0.478784304478665,0.8741696627962657,off,off
2016-04-26,-0.7568390611466314,1.5295681125329093,-0.7757803404730456,1.8061265822112123,0.4507688232811111,0.8167363235515173,off,off
2016-04-27,-0.7757495768955393,1.5331323523678813,-0.845347969348543,1.777943214653255,0.4224945051942635,0.7663375113466534,off,off
2016-04-28,-0.6291446879348715,1.5568034226916594,-0.84792799171454,1.683620167307729,0.4408377275874942,0.7628700987814565,off,off
2016-04-29,-0.5805005437871571,1.5499859296500638,-0.8394935082445643,1.5821650462793984,0.4280392309744352,0.7054617062608386,off,off
2016-05-02,-0.6833027919416765,1.5506092201835342,-0.8461359240523019,1.5147570787239408,0.38398189572837416,0.6095924524165728,off,off
2016-05-03,-0.5901956938931257,1.6279626099098747,-0.7376954317453258,1.5592526694667554,0.46483103843454465,0.7454881254414525,off,off
2016-05-04,-0.544578320840508,1.646338671508785,-0.7458535899164516,1.593361025351246,0.4873169465257679,0.7947756353697762,off,off
2016-05-05,-0.5585639941523707,1.6719081538109954,-0.7296526632257889,1.6802856545437448,0.5159942877441451,0.870393560636098,off,off
2016-05-06,-0.6786073035167225,1.6557816421249598,-0.8314748149663329,1.6950350046483846,0.4601836320725723,0.793640884678622,off,off
2016-05-09,-0.6935432157517284,1.6621425750848666,-0.8610333487053994,1.7317650111929614,0.4598327554551751,0.8092136849755488,off,off
2016-05-10,-0.788281167934656,1.5964948717860017,-0.8650552498524975,1.7507918120605879,0.423487566514859,0.7592110095249904,off,off
2016-05-11,-0.6809070446601707,1.6123873078072437,-0.8670447689418761,1.6803088033127216,0.43618607437947965,0.7544855984461791,off,off
2016-05-12,-0.7089829989323229,1.5764860015360695,-0.865843084900946,1.7258189163035917,0.4318697085015981,0.7650179587357218,off,off
2016-05-13,-0.6450818789380722,1.6349242120414964,-0.8611620184866844,1.793185292652821,0.4804664018173902,0.8663333352124143,off,off
2016-05-16,-0.6812696768559174,1.5494008880688808,-0.7775899628065106,1.7856790188476441,0.4690550668135242,0.8413829495246313,off,off
