,zVIX,zCRED,zMOVE,zDXY,composite_eqw,composite_pca1,state_eqw,state_pca1
2009-11-04,-0.10308651988442376,0.6598543007876577,-0.3993777108278564,-0.7872328924774946,-0.15746070560052927,-1.8382389901377376,on,on
2009-11-05,-0.27631400368761727,0.6578080353111886,-0.488349685887526,-0.7637154417358369,-0.2176427739999479,-1.95239632080051,on,on
2009-11-06,-0.36998190852212887,0.6720593299387417,-0.6844540889488294,-0.7447499121712476,-0.28178164492586605,-2.0659914526797567,on,on
2009-11-09,-0.44845238988080316,0.6418503794680677,-0.8138681502439139,-0.9220030214841404,-0.38561829553519744,-2.262721212800091,on,on
2009-11-10,-0.4715391784547465,0.6384137634011521,-0.9200255105585743,-0.9229547095899576,-0.41902640880053155,-2.316473301739021,on,on
2009-11-11,-0.4559304652633182,0.6648029567644068,-0.9187296601382602,-0.8900820781821019,-0.39998481170481837,-2.277674233579872,on,on
2009-11-12,-0.3644315304980816,0.6539734918853948,-0.7514881061779028,-0.7896143644252571,-0.3128901273039617,-2.0914701218561125,on,on
2009-11-13,-0.43095527594810573,0.6958187128350221,-0.878301367526425,-0.8495668931462411,-0.3657512059464374,-2.1899369193825535,on,on
2009-11-16,-0.4662834346325403,0.6955509638533811,-0.9971271970128864,-0.9432246814483272,-0.42777108731009317,-2.3005357720259583,on,on
2009-11-17,-0.5023481622635705,0.7097604805216015,-1.0288024069935262,-0.8380674753942722,-0.4148643910324419,-2.277509007894769,on,on
2009-11-18,-0.561203713456025,0.7026080834139652,-1.0807893953339667,-0.8798796660606117,-0.45481617285915954,-2.358131223612382,on,on
2009-11-19,-0.48453824173208393,0.6943020386769871,-1.1351386394513194,-0.8538638841249164,-0.4448096816578332,-2.295549332695151,on,on
2009-11-20,-0.5175953363508129,0.6546353250674593,-1.1229778326674658,-0.769175971603752,-0.43877845388864284,-2.2894498658293787,on,on
2009-11-23,-0.5955745135706252,0.6630247391617075,-1.1108656966926336,-0.8970320249438402,-0.48511187401134787,-2.3952555129629776,on,on
2009-11-24,-0.6475538392511198,0.6908320628466653,-1.2109483051161753,-0.900331131160107,-0.5170003031701842,-2.4539984937120822,on,on
2009-11-25,-0.6461008841072913,0.7177630216908983,-1.2316280579313936,-1.0797826730638058,-0.5599371483528981,-2.535980069313712,on,on
2009-11-27,-0.3119614079450898,0.7747568636156246,-1.0739375965520581,-0.9131855103095402,-0.38108191279776593,-2.1310764207886574,on,on
2009-11-30,-0.3376741749520618,0.7883386291744346,-1.1435291770387432,-0.9390408030319596,-0.4079763814620825,-2.179583811649944,on,on
2009-12-01,-0.5353092228268679,0.7275603683048187,-1.1059048144424477,-1.0551658509844632,-0.49220487998724005,-2.379788248299902,on,on
2009-12-02,-0.5959428082696249,0.7192734833414438,-1.088790457707117,-0.9834969121885307,-0.4872391737059572,-2.382156325235748,on,on
2009-12-03,-0.49286283441811596,0.7049048253309259,-0.9596682144174208,-0.9910886579531747,-0.4346787203644464,-2.2780749298101783,on,on
2009-12-04,-0.5849964401864736,0.6325131538801064,-0.9022357588325822,-0.7003562753830567,-0.3887688301305015,-2.184799536416733,on,on
2009-12-07,-0.5193402560525358,0.6165425322678169,-1.0411630145692246,-0.7312473704657173,-0.4188020272049152,-2.214725162298286,on,on
2009-12-08,-0.39703493968614156,0.6429733543124748,-1.1337755404321885,-0.6082151266115883,-0.3740130631043609,-2.096521642442647,on,on
2009-12-09,-0.47565959792691115,0.5917396523989713,-1.032557235194357,-0.6687306208670902,-0.3963019503973468,-2.163454295403492,on,on
2009-12-10,-0.5013063835544326,0.554878405224898,-1.0080574850773099,-0.6680142384688372,-0.4056249254689204,-2.1873771759820593,on,on
2009-12-11,-0.5568608870489868,0.5071566011723608,-0.9275890862939272,-0.5471875622621769,-0.38112023360818253,-2.13491341553076,on,on
2009-12-14,-0.5901005006356569,0.4842163854312303,-0.9441507933823673,-0.5965520571186222,-0.41164674142635405,-2.1970315767114688,on,on
2009-12-15,-0.5634005935511157,0.42837418260911464,-0.8536368932178612,-0.45754647215198824,-0.3615524440779626,-2.1031783046663186,on,on
2009-12-16,-0.6358515101321983,0.4416610920469566,-0.9137314078333673,-0.44805629835672367,-0.3889945310688332,-2.1623107024199886,on,on
2009-12-17,-0.4837406685067853,0.4845598065740153,-0.9583808996390665,-0.2908657176215427,-0.3121068697983448,-1.9837004941884064,on,on
2009-12-18,-0.5471567045174938,0.4748404074875095,-0.9264430602278554,-0.26106985513670095,-0.3149573030986352,-1.9830414062153876,on,on
2009-12-21,-0.638215534974324,0.4042578596726643,-0.7007306112341256,-0.21079548205082985,-0.28637094214665376,-1.9651238630204275,on,on
2009-12-22,-0.7106836432646063,0.34633611552655774,-0.5697627798308621,-0.16280491798970367,-0.2742288063896536,-1.9659994980071545,on,on
2009-12-23,-0.6968130850647993,0.3530116674307413,-0.7045874594344488,-0.24245471682560019,-0.32271089847352674,-2.043004095749304,on,on
2009-12-24,-0.714543761267095,0.27591749903870694,-0.6373891143824492,-0.25595277339827616,-0.33299203750227835,-2.070253725708796,on,on
2009-12-28,-0.6783127783059507,0.2780574900485305,-0.5549245596943932,-0.3036792982558375,-0.31471478655191276,-2.01717024318122,on,on
2009-12-29,-0.6714252867336978,0.37652932756014107,-0.5364889019463239,-0.25776363989504325,-0.272287125253731,-1.9397608013958287,on,on
2009-12-30,-0.6745738848483237,0.3481969332093616,-0.6511539681065915,-0.2392811127796334,-0.30420300813129675,-1.9887623089784863,on,on
2009-12-31,-0.5411373501955238,0.3201753557309053,-0.5711145111141908,-0.25053289664197165,-0.2606523505551952,-1.8891666539557184,on,on
2010-01-04,-0.6672488440891439,0.2964571093062712,-0.5987443530355525,-0.32585586659154353,-0.3238479886024922,-2.0288954453505186,on,on
2010-01-05,-0.7198320364155623,0.29651135089891784,-0.6980907361042035,-0.3049866134049394,-0.35659950875644686,-2.0705543470504564,on,on
2010-01-06,-0.733718049870159,0.24524174136294907,-0.5845500241894757,-0.3345333073359194,-0.35188991000815123,-2.0736563806106663,on,on
2010-01-07,-0.7406303019038553,0.21919503416668387,-0.6481054881911513,-0.23796533836013828,-0.35187652357211524,-2.067769043678326,on,on
2010-01-08,-0.8116714883783535,0.22483625381971084,-0.8551973192537051,-0.33873775495193204,-0.44519257719106997,-2.238343576101509,on,on
2010-01-11,-0.8555259247107972,0.24264109184560254,-0.9387468924019606,-0.44635509475456275,-0.4994967050054295,-2.3421553640916057,on,on
2010-01-12,-0.8003544218381237,0.3075644108639119,-0.9451706467623846,-0.45745448907435343,-0.4738537867027375,-2.2630436725575764,on,on
2010-01-13,-0.8303412956564166,0.24797770396751595,-0.8720851531187787,-0.4800358141275123,-0.4836211397337979,-2.292178982314459,on,on
2010-01-14,-0.8463500007608394,0.270871298496878,-0.9838296005698903,-0.507199624948135,-0.5166269819454967,-2.3479405850424424,on,on
2010-01-15,-0.8236540461899904,0.3044579166840643,-1.015776681629759,-0.37101815447703124,-0.4764977414031791,-2.2656555967880023,on,on
2010-01-19,-0.8481980956350934,0.3079530021709075,-1.0630089122114381,-0.3292767237559373,-0.48313268235789036,-2.278401621700588,on,on
2010-01-20,-0.762029197329076,0.31506858872130744,-1.051143115440006,-0.13547924224882962,-0.40839574157415104,-2.1023566628616916,on,on
2010-01-21,-0.4831049810806104,0.4831776206070841,-1.070070720325824,-0.13999197370250563,-0.302497513625464,-1.8536888475586382,on,on
2010-01-22,-0.09183962999950636,0.5550924521398494,-1.0479390276532443,-0.1491205389540526,-0.18345168611673848,-1.560842646029421,on,neutral
2010-01-25,-0.23924028263161407,0.5402337148216242,-1.0515036474410189,-0.1697928150715933,-0.23007575758065052,-1.67518903281047,on,on
2010-01-26,-0.3058474077531087,0.5042981015567926,-1.0319977335107162,-0.11421383542548137,-0.23694021878312843,-1.7012686564594537,on,on
2010-01-27,-0.4151668422032412,0.4678909235771119,-1.0945401573019826,-0.05632343560273637,-0.2745348778827121,-1.7723368129329176,on,on
2010-01-28,-0.3689555291900158,0.4932129091681445,-1.0518551822659215,-0.005374973807398304,-0.23324319402379776,-1.6902775813682118,on,on
2010-01-29,-0.29942136405218184,0.5963049426393184,-1.0912738710643164,0.12430388067479264,-0.16752160295059676,-1.553249171184751,on,neutral
2010-02-01,-0.4572081247926716,0.5429481114076997,-1.1151959252944639,0.0732356607188197,-0.239055069490154,-1.7136642697355808,on,on
2010-02-02,-0.5432514249637367,0.5436530080407422,-1.1543932756755904,0.0198502285437303,-0.2835353660137136,-1.8099120188336781,on,on
2010-02-03,-0.5334090803576063,0.4874665065110811,-0.9912209612236758,0.10337534967431672,-0.23344704634897104,-1.71315971278821,on,on
2010-02-04,-0.18365107061084324,0.6153771472041527,-0.9667920386468206,0.2310123267891389,-0.07601340881609307,-1.3579837401356036,on,neutral
2010-02-05,-0.18117704817701435,0.6399643098245533,-1.011581321018776,0.35165422704801386,-0.0502849580808058,-1.3069890993842217,on,neutral
2010-02-08,-0.14981084801756073,0.6868709937746826,-1.0383165798265659,0.3188334904659123,-0.04560573590088292,-1.2911752210777978,on,neutral
2010-02-09,-0.1895560883245501,0.647702100559358,-1.0342483882166276,0.21623183736852974,-0.08996763465332248,-1.3807690010297389,on,neutral
2010-02-10,-0.23633419046990847,0.6983489252430408,-0.9789813202698621,0.2556478721232493,-0.0653296783433701,-1.3391913218967963,on,neutral
2010-02-11,-0.3488213918174782,0.6821041430863526,-1.0032541110295257,0.2461403323558882,-0.10595775685119077,-1.434131744066047,on,neutral
2010-02-12,-0.4448252369582222,0.6970308970602724,-1.0581831026027912,0.32287675235609525,-0.12077517253616143,-1.4767109805200682,on,neutral
2010-02-16,-0.4820427728676497,0.6435463614142776,-1.095020321668308,0.17802085210474303,-0.1888739702542343,-1.6064794184617988,on,neutral
2010-02-17,-0.5231527171640822,0.5436489212010095,-1.0831123876794648,0.3366012804941965,-0.18150372578708523,-1.6003724758644324,on,neutral
2010-02-18,-0.6081168325693886,0.450879218834153,-1.0482117848322583,0.3410129418736355,-0.2161091141734646,-1.6717306308732365,on,neutral
2010-02-19,-0.6553606701679867,0.4215664981509937,-1.1055441904644587,0.3968247439686782,-0.23562840462819337,-1.713310975904056,on,on
2010-02-22,-0.6609867816265635,0.4148556251793917,-1.193364624404712,0.36611645090848677,-0.2683448324858493,-1.7692486550517375,on,on
2010-02-23,-0.5481317039179989,0.5032740609487757,-1.12744892265204,0.44535929191795315,-0.18173681842582756,-1.5930094825764878,on,neutral
2010-02-24,-0.6339927260555865,0.5072061615517854,-1.1435808634174778,0.4449915158977648,-0.2063439780058785,-1.6541258000588388,on,neutral
2010-02-25,-0.646730221945664,0.4961264979866388,-1.167323186479911,0.43057564299098855,-0.2218378168619869,-1.674761632644471,on,neutral
2010-02-26,-0.693229935128511,0.494640006277223,-1.1909771589343943,0.3294697403390669,-0.26502433686165383,-1.7611868228435597,on,on
2010-03-01,-0.7113825739365135,0.5283447783552501,-1.234968268850574,0.399559094238353,-0.25461174254837116,-1.7441182308214729,on,on
2010-03-02,-0.726367078019775,0.4880210755696387,-1.2583555262353439,0.3663968006143276,-0.2825761820177881,-1.796507496975251,on,on
2010-03-03,-0.7436892887008808,0.49725322908332004,-1.243374330712729,0.23934382408529606,-0.3126166415612484,-1.8550527088098394,on,on
2010-03-04,-0.7515498896520224,0.4938128974335193,-1.3126121276562035,0.3754175112588534,-0.2987329021539633,-1.8193324255564594,on,on
2010-03-05,-0.8529885887253192,0.42738163037296667,-1.2388065649196716,0.344571576033375,-0.3299604868096623,-1.8992995709578109,on,on
2010-03-08,-0.8228824575516822,0.4398003117131371,-1.2697930409483025,0.3443088529539053,-0.3271415834582356,-1.886766521940817,on,on
2010-03-09,-0.811715052639359,0.3906923513959345,-1.300642641604917,0.38169631671207166,-0.33499225653406745,-1.8974260814169082,on,on
2010-03-10,-0.759642944150831,0.3960178589543322,-1.3084445806052418,0.34843585483421463,-0.3309084527418815,-1.8788783123999815,on,on
2010-03-11,-0.7989803652384826,0.4006175099788644,-1.3136682979811403,0.3175426664390247,-0.34862212170043344,-1.9088250811486618,on,on
2010-03-12,-0.8358864939613063,0.417501569930721,-1.2908990861377183,0.20177909357136128,-0.3768762291492356,-1.9670786030801242,on,on
2010-03-15,-0.8018489228488499,0.4259427031270734,-1.265691517912153,0.3007254075876971,-0.3352180825115581,-1.8868656173665328,on,on
2010-03-16,-0.8253778700846417,0.43688165087512554,-1.2736297882721417,0.18246672685915485,-0.3699148201556257,-1.9528162814297954,on,on
2010-03-17,-0.8858886916110883,0.4703904443073364,-1.3424813636235813,0.15635249401047938,-0.4004067792292134,-2.017619607201879,on,on
2010-03-18,-0.9076685152397581,0.438173445319649,-1.2942619009236849,0.29335051998914835,-0.3676016127136614,-1.9549822214422246,on,on
2010-03-19,-0.8789771518060286,0.4770055440954467,-1.2031098195046157,0.41138612089693566,-0.2984238265795655,-1.8291065663526658,on,on
2010-03-22,-0.8858098400918959,0.44733615766374346,-1.2239670253550508,0.39449967513080575,-0.3169852581630994,-1.863004814259748,on,on
2010-03-23,-0.9257294927881303,0.4419314503114448,-1.2193775984123925,0.4533790553314195,-0.3124491463894146,-1.864180234041473,on,on
2010-03-24,-0.8299852630412,0.3775022750854137,-0.9255442373595891,0.6756040296985149,-0.17560579890421518,-1.6101891964175366,on,neutral
2010-03-25,-0.76201147259551,0.32117035201292177,-0.9396278589425464,0.7412510490581069,-0.15980448261675698,-1.5598633426397106,on,neutral
2010-03-26,-0.8109060237697063,0.3526252608261568,-0.9917632667412103,0.6362518437752199,-0.203448046477385,-1.6451327702259266,on,neutral
2010-03-29,-0.8242100330447198,0.33268530647099936,-0.9980654240608137,0.5598026873972147,-0.23244686580932986,-1.6983488861354215,on,neutral
2010-03-30,-0.8595854185741115,0.34733529826136395,-1.0195838887754396,0.5854001443044667,-0.23660846619593012,-1.713226866062501,on,neutral
2010-03-31,-0.822284193693643,0.3812381248452965,-1.0410432932385039,0.4899623185483101,-0.24803176088463508,-1.7234373007654056,on,on
2010-04-01,-0.8308406057800164,0.4521894989826774,-0.9253598932857127,0.4206990088806914,-0.22082799780059004,-1.6679862853869905,on,neutral
2010-04-05,-0.8654378292593251,0.36970028406287503,-0.9166000321462413,0.49401745099341104,-0.2295800315873201,-1.6931142694750387,on,neutral
2010-04-06,-0.9268091066257738,0.33070803910039026,-0.9535757873484787,0.5649085050586135,-0.2461920874538122,-1.7368970963837218,on,on
2010-04-07,-0.8948728670639019,0.3641213118185699,-0.8609261550522418,0.5763027693759237,-0.2038437352304125,-1.6565068123410929,on,neutral
2010-04-08,-0.904862651622719,0.32986962183618806,-0.9082078528159044,0.5971998017483926,-0.22150027021351065,-1.6897637903175369,on,neutral
2010-04-09,-0.9306275326930786,0.3220043085684627,-0.9198162620006286,0.49195765779777617,-0.2591204570818671,-1.7500866527168804,on,on
2010-04-12,-0.9737075004621781,0.3465710389953791,-0.9593483000999976,0.365339707990443,-0.30528626339408843,-1.8375062575573544,on,on
2010-04-13,-0.9234897735175085,0.3546847617818247,-0.9962423614821992,0.353152627267639,-0.302973686487561,-1.821466794034869,on,on
2010-04-14,-0.9705458589797237,0.3207865130620326,-1.0304986410090033,0.27658506365268837,-0.35091823081850154,-1.9146139568990515,on,on
2010-04-15,-0.9456103406241347,0.31110653434867674,-1.064658632135749,0.3455846325926297,-0.3383944514546443,-1.888181258095807,on,on
2010-04-16,-0.7492444372398629,0.40981602717383625,-1.0885598101898952,0.42649382570995403,-0.250373598636492,-1.6784994565940359,on,neutral
2010-04-19,-0.8291209837798927,0.4036529534378778,-1.1022327174434963,0.46915145313605594,-0.2646373236623638,-1.7225473948460786,on,neutral
2010-04-20,-0.9554779597245007,0.32258555929717053,-1.2021441522647398,0.48072403002726555,-0.3385781306662011,-1.881175909513666,on,on
2010-04-21,-0.9076456908120237,0.35430920943375116,-1.159635109347739,0.5066322043173415,-0.30158484660216756,-1.8061135768527545,on,on
2010-04-22,-0.8947048761210135,0.36033061449556175,-1.152786622905399,0.6042595833295435,-0.2707253253003268,-1.7514809160600444,on,on
2010-04-23,-0.8817923619222529,0.29646816533796955,-1.0216671657624383,0.5510927146601768,-0.2639746619216362,-1.7276482861380411,on,neutral
2010-04-26,-0.8135360574580844,0.30074846943286115,-1.076120398041986,0.5817394909189316,-0.2517921237870694,-1.6914543291203288,on,neutral
2010-04-27,-0.38988449561016914,0.4272484745232036,-0.9249139818212345,0.7416196014621269,-0.03648260036151829,-1.2218806889026879,neutral,neutral
2010-04-28,-0.5266783807646296,0.436456438556263,-0.966944828015426,0.7959298554938996,-0.06530922868247324,-1.3047757810709986,neutral,neutral
2010-04-29,-0.7354571701586867,0.395130750880284,-1.064690005970323,0.7040940631610647,-0.17523059052191528,-1.542124019033895,on,neutral
2010-04-30,-0.4485256181052203,0.4029723999520202,-1.0074037982699924,0.6722673680466599,-0.09517241209413316,-1.3285992153501074,neutral,neutral
2010-05-03,-0.5957363615706979,0.43457827953105005,-1.0542938820490588,0.7674900403528953,-0.11199048093395286,-1.394357166465746,neutral,neutral
2010-05-04,-0.3054911031980494,0.5423915285106269,-0.9234537250409228,1.0134644842171052,0.08172779612218997,-0.9961342690765856,neutral,neutral
2010-05-05,-0.2202696950536171,0.6297149100811976,-0.7420854682188774,1.1988473710321548,0.21655177946021448,-0.7460132730596374,neutral,neutral
2010-05-06,0.407118830858385,0.7071900469839772,-0.21009399793343297,1.390629203743686,0.5737110209131538,0.01617520862252725,neutral,off
2010-05-07,1.0544100449610456,0.7372490982626952,-0.31427018393500344,1.2828866749824797,0.6900689085678042,0.37427517750425954,off,off
2010-05-10,0.09048225585507798,0.6235948392579709,-0.5227605129109233,1.2114226288508878,0.3506848027632533,-0.4388866657252834,neutral,off
2010-05-11,0.04903593248802551,0.6434112651522111,-0.7157869521940432,1.28354200937638,0.3150505637056434,-0.5130583557996677,neutral,neutral
2010-05-12,-0.17399479349752983,0.5263376714716248,-0.8067234773718162,1.3672755441656854,0.22822373619199104,-0.720578914237012,neutral,neutral
2010-05-13,-0.08143849045896279,0.6112300452947773,-0.9000406045975577,1.4553565107223663,0.27127686524015576,-0.6260963398006949,neutral,neutral
2010-05-14,0.28223401661132436,0.6617746933309362,-0.636748484717302,1.6643019974605424,0.4928905556713752,-0.16129896018630263,neutral,off
2010-05-17,0.2501270465808472,0.6886013185026006,-0.7177050516069822,1.68643258118204,0.4768639736646264,-0.19724240597595477,neutral,off
2010-05-18,0.46626797065530823,0.7365631926113487,-0.7017210931778138,1.9075633222368213,0.6021683480814161,0.06380267371084158,off,off
2010-05-19,0.6072147155013329,0.7944398827833792,-0.6781098078043052,1.7196791543211505,0.6108059862003894,0.11909580917348428,off,off
2010-05-20,1.4415895651107213,1.0451563769072258,-0.3509287745568688,1.521260344642424,0.9142693780258755,0.8523885358696572,off,off
2010-05-21,0.9856766545294862,0.8507056692675794,-0.4068497040911463,1.4707228207992373,0.7250638601262891,0.4153051241222964,off,off
2010-05-24,0.8425220799588969,0.8596262532329106,-0.4474192615829581,1.6663465106570392,0.7302688955664722,0.3844983306852855,off,off
2010-05-25,0.545555588377311,0.8259763181941631,-0.303947723281987,1.7968187597268994,0.7161007357540966,0.28652212386190523,off,off
2010-05-26,0.5778501721484594,0.9396749687774195,-0.3753479878261628,1.8720490895031736,0.7535565606507224,0.3582001139053415,off,off
2010-05-27,0.1505889032987416,0.7675748860114027,-0.33413527571242946,1.6456898886755653,0.55742960056832,-0.07677043730086863,neutral,off
2010-05-28,0.3416500469260804,0.739513218912559,-0.318538252600192,1.712343078518089,0.6187420229391342,0.07109569608916955,off,off
2010-06-01,0.6190130739682038,0.8057270918231598,-0.3644295701443135,1.745643197867344,0.7014884483785986,0.2790563013230711,off,off
2010-06-02,0.18865178466727026,0.7902065000349615,-0.49487710377245026,1.7763420522984519,0.5650808083070583,-0.05947712244174208,neutral,off
2010-06-03,0.13164843095996193,0.7565963691461702,-0.5175632424429738,1.853565461583424,0.5560617548116455,-0.09156095537950826,neutral,off
2010-06-04,0.6140248582047694,0.862194048412072,-0.46328501920844567,2.1026591576781564,0.778898261271638,0.4012010926788732,off,off
2010-06-07,0.700839013348227,0.9612930461041411,-0.47063114459715905,2.1350465631804174,0.8316368695089066,0.5138890318159625,off,off
2010-06-08,0.4700908995457327,0.9461228978550437,-0.40350766753826595,2.125304835989556,0.7845027414630167,0.37873328876696616,off,off
2010-06-09,0.47213841728680606,0.9289834279383934,-0.45716696464040574,2.0045106739295173,0.7371163886285778,0.30032421557463324,off,off
2010-06-10,0.21807994568913444,0.7985111227827543,-0.5416365653176153,1.8293163548189508,0.5760677144933061,-0.035158895080328656,neutral,off
2010-06-11,0.07491907153781494,0.8182585562888125,-0.4743461931593006,1.9029447771349146,0.5804440529505603,-0.0626074668654224,neutral,off
2010-06-14,0.057988034754930834,0.7883325695330977,-0.5511584523738055,1.6665833505866734,0.49043637562522413,-0.2159566573065439,neutral,off
2010-06-15,-0.16006802431690967,0.6875183941200833,-0.63562588542714,1.540290407056974,0.35802872285825194,-0.49442378881726345,neutral,neutral
2010-06-16,-0.15594107429570003,0.6889073846333841,-0.7277201830440938,1.5601372529738644,0.34134584506686366,-0.5232926345572033,neutral,neutral
2010-06-17,-0.2259148209261792,0.6801079733199917,-0.7476202882099022,1.466870644277513,0.29336087711535586,-0.6201254508380967,neutral,neutral
2010-06-18,-0.31441189083888094,0.6388102485806373,-0.767493083718406,1.4663065159027542,0.25580294748152616,-0.7066061463140569,neutral,neutral
2010-06-21,-0.2392112798833921,0.6284496196440438,-0.9366520796820629,1.5164178197152203,0.24225101994845227,-0.7147990724191025,neutral,neutral
2010-06-22,-0.06396679997211951,0.7392441631424163,-0.9844643881191764,1.5547349564419823,0.3113869828732757,-0.553609556732885,neutral,neutral
2010-06-23,-0.07523051542991069,0.7833005325593025,-1.001280089847446,1.466387247888335,0.2932942937925702,-0.5839482463293151,neutral,neutral
2010-06-24,0.15344747933396485,0.8089388100707575,-0.9948945818754218,1.4612389353586497,0.35718266072198757,-0.41917628118988437,neutral,neutral
2010-06-25,0.055538465472937865,0.7817612077711369,-1.0116873793314376,1.3619381070945595,0.29688760025179917,-0.5437869609834403,neutral,neutral
2010-06-28,0.09352118575018517,0.8107559090989855,-1.0232923034014558,1.437606901623115,0.3296479232677075,-0.48000009790299464,neutral,neutral
2010-06-29,0.5085931354249358,0.8970626266401482,-0.8778701165650942,1.5220466440821607,0.5124580723955376,-0.06669470748639761,neutral,off
2010-06-30,0.5413824651475118,0.945627010176252,-0.8794896486668975,1.5166546065090762,0.5310436082914856,-0.02576649278484,neutral,off
2010-07-01,0.4049122717209046,0.9412924917049148,-0.7729326772690246,1.2157381618470087,0.44725256200095087,-0.1915657480296316,neutral,off
2010-07-02,0.1825781221695346,0.9122413235249343,-0.9164364405533608,1.1474093116778732,0.3314480792047453,-0.4432366836109141,neutral,neutral
2010-07-06,0.1443474397186715,0.877663126843986,-1.0596091716264644,1.0655353952128905,0.2569841975372709,-0.5790570423580488,neutral,neutral
2010-07-07,-0.08376903374237325,0.7734064973826777,-0.9629697758886578,1.0045194584584025,0.1827967865525123,-0.7599048739463716,neutral,neutral
2010-07-08,-0.17546880362787437,0.7072491166457074,-0.9824375096467743,1.0032866344961529,0.1381573594668029,-0.8599858510297674,neutral,neutral
2010-07-09,-0.23466396486492666,0.7167791227765175,-0.9915600063480395,1.0318714757838756,0.1306066568368567,-0.8878373713877171,neutral,neutral
2010-07-12,-0.2792192549555658,0.734655973563341,-1.0650292642318968,1.0878959327600248,0.11957584678397581,-0.9196077644606527,neutral,neutral
2010-07-13,-0.2684634019876267,0.667828067027044,-1.1125504527390382,0.9580440352915925,0.06121456189799293,-1.0120745685115153,neutral,neutral
2010-07-14,-0.24143438467040076,0.7167054842273489,-1.1444882173679964,0.9087566827177495,0.059884891226675285,-1.0055217523093263,neutral,neutral
2010-07-15,-0.22092314939006746,0.7184145040718669,-1.166034842370679,0.7080848694308772,0.009885345435499404,-1.0796445041375105,neutral,neutral
2010-07-16,-0.13034539407919388,0.7897997980746398,-1.0846299199351965,0.6913655084777833,0.06654749813450819,-0.9575421444402485,neutral,neutral
2010-07-19,-0.15309226096438736,0.75671197149125,-1.1294973967073625,0.6953418575656379,0.042366042846284535,-1.0059467019430164,neutral,neutral
2010-07-20,-0.3193967487237872,0.6922207821465157,-1.1459419343860793,0.7498622195235006,-0.005813920359962532,-1.127175721161464,neutral,neutral
2010-07-21,-0.17962774913711213,0.7405755262890031,-1.1520525092619371,0.8962046565563336,0.07627498111157188,-0.9575722306136529,neutral,neutral
2010-07-22,-0.2619944762213966,0.6460117459712784,-1.1401536262759977,0.7136822833623024,-0.010613518290953361,-1.1213063030762196,neutral,neutral
2010-07-23,-0.3565990213157821,0.6152885025282295,-1.1360033182413454,0.6808410316955154,-0.04911820133334566,-1.2092977867357528,neutral,neutral
2010-07-26,-0.4168419734922934,0.6190924542008631,-1.175544819829809,0.5951216267101308,-0.09454317810277715,-1.2988989099126274,on,neutral
2010-07-27,-0.3789308605402598,0.5996151615018124,-1.1789983192932407,0.6153521616891864,-0.08574046416062545,-1.2702678218903505,on,neutral
2010-07-28,-0.2919361896113396,0.6523996308342507,-1.1978477140506505,0.6148426271708484,-0.05563541141422276,-1.1970219717350803,neutral,neutral
2010-07-29,-0.3015710292962937,0.626843440264132,-1.2063660310811972,0.489941861904402,-0.09778793955223926,-1.267258171063092,on,neutral
2010-07-30,-0.35298089226052654,0.6936195177233447,-1.1455627143551268,0.4665288221606645,-0.08459881668291103,-1.253286282182557,on,neutral
2010-08-02,-0.4748478585232211,0.6510308347607794,-1.1593751972077282,0.3278104524351546,-0.16384544213375382,-1.413836933066051,on,neutral
2010-08-03,-0.4236705004454422,0.6733924501876634,-1.0679360821324113,0.24912519141036074,-0.14227223524495736,-1.3507056302098936,on,neutral
2010-08-04,-0.45782255599944965,0.6491997471875908,-0.9433562555476672,0.3159336408098412,-0.10901135588742122,-1.3025724147416315,on,neutral
2010-08-05,-0.466519039538043,0.66987338598716,-0.991075808027305,0.2995540011704917,-0.12204186510192408,-1.3268439593016126,on,neutral
2010-08-06,-0.49573550091544255,0.7245542039248661,-1.0823140511963183,0.20457879367376475,-0.1622291386282825,-1.399347099639647,on,neutral
2010-08-09,-0.462514571465411,0.7707171245707388,-1.0963128228478458,0.27384402909605016,-0.12856656016161694,-1.3359599257657608,on,neutral
2010-08-10,-0.4432804839718392,0.7614600282875644,-1.1769696756384458,0.29449862661978116,-0.14107287617573488,-1.3467845507126794,on,neutral
2010-08-11,-0.19463125090176353,0.8802436193421256,-1.185561026409586,0.6392338791123644,0.03482130528578514,-0.9990648008333997,neutral,neutral
2010-08-12,-0.16653362009592348,0.8785939228901853,-1.050525178879335,0.7197173078065165,0.09531310793036082,-0.8891211280081144,neutral,neutral
2010-08-13,-0.12444030237969662,0.8733195856826003,-0.9748255828513192,0.7908350329930655,0.1412221833611625,-0.8019039734221127,neutral,neutral
2010-08-16,-0.13589964722596656,0.9604146957059069,-0.7555450828155955,0.6928198103300097,0.19044744399858862,-0.7086723641047021,neutral,neutral
2010-08-17,-0.28171891281854883,0.9105788963684376,-0.8036333846863983,0.6227109246933061,0.11198438088919913,-0.8719579050761362,neutral,neutral
2010-08-18,-0.26009713102620424,0.9021809188290838,-0.8901617054844501,0.6198827338499063,0.09295120404208396,-0.9016772024831459,neutral,neutral
2010-08-19,-0.10726798066103072,0.9295804572481011,-0.7993331322946542,0.6727030022762069,0.1739205866421558,-0.7259457245083184,neutral,neutral
2010-08-20,-0.18564770685590237,0.9230263127861025,-0.7420366946364882,0.8135721175684024,0.20222850721552857,-0.7014657405990194,neutral,neutral
2010-08-23,-0.17148980056854438,0.9413798514853207,-0.6822405753179902,0.8266908166183796,0.22858507305429143,-0.651594718010799,neutral,neutral
